Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1482350290464821254;"RT @official7orbit : 형 생일 축하해요!!

ヨンフニヒョンお誕生日おめでとうございます🎉

#ORβIT
#EαRTH
#YUGO
#Happy_YOUNGHOON_Day https://t.co/w6is3TKTMg";なの。;Xc1syNjwWgBgFSs;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;ja;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";Retweet;;4;0;photo;https://pbs.twimg.com/media/FJJGEmeVIAMsCHY.jpg;;;
1482350290162823168;RT @1011Himitsu : I don’t know who are they but they are really cute and beautiful. Happy that my dear has the chance to work with them ☺️💕 #ลังโคมส่งความสุข2022 https://t.co/XzW8EnKKLr;0911;set1924;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;1;0;photo;https://pbs.twimg.com/media/FJJKfuMUUAMQxqV.jpg;;;
1482350289998991361;Happy Founders Day to my favorite AKAs @123itsmeMary , My club @SoKellee , @afemalepr  @Niyonce143;NefertitEE 🌻🏳️‍🌈;Nefertitee080;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;4;;;;;
1482350289965436930;"RT @nasnoon_01417 : happy birthdayヒストリア🎂
あなたの笑顔が見たいよ

#ヒストリア生誕祭2022
#ヒストリア・レイス生誕祭2022
#aot #shingeki https://t.co/MrLcwkFfKP";✨𝓖𝓲𝓷𝓪✨;gina_trerotola;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;ja;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;4;0;photo;https://pbs.twimg.com/media/FJEklc8akAIho9x.jpg;;;
1482350289856663554;"@nananaeluv HAPPY BIRTHDAY JENNIE
#.OurStarJennieDay
#.빛이나는제니_오늘제일빛나";alika🍓;jenjenmandukie;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;ko;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;1;;;;;
1482350289856626691;"RT @xunhuas : Jongin: I have to sing to myself.. Can you just sing a little softer?
Fans: 🎶🤫👏🏼
🐻: When you guys sing ‘Happy Birthday’ to me, do you sing it to Jonginnie or Kai?
Fans: (quietly) To Jonginnie~
🐻: Oh, Jonginnie~ Happy Birthday, Jongin-ah~ Let me cut it.
https://t.co/JGD4VYWLZ8";r;itsmaariioo;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1482259612015689729/pu/vid/540x540/nE9W23SjCqFcz9mP.mp4?tag=12;;;
1482350289856331780;"RT @TheHappyFits : Team: How are we gonna market these new tracksuits?
Me: Yes.
Get em here: https://t.co/usuDi5K8O0 https://t.co/OUVM3K3GiQ";SHERRI❕;shtrri;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;https://the-happy-fits.myshopify.com/collections/garden-state-grown/products/garden-state-grown-bundle ;0;0;video;https://video.twimg.com/ext_tw_video/1482074721797746694/pu/pl/mSUtOjzbAAi5CdcZ.m3u8?tag=12&container=fmp4;;;
1482350289672110080;RT @urstrulyMahesh : Congratulations team #HERO! Extremely happy to see the unanimous applause for the film! 👏👏👏;Harshavardhan;Urstruly_hari_;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;1;0;;;;;
1482350289500131329;"I am so happy to know about this. This is very pocket friendly and effective.
#Molulife https://t.co/C6O64HVzj5";Legal drugdealer_ Baby Blunt;Anothr_mitr;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;1;0;photo;https://pbs.twimg.com/media/FJJdpQNacAIQwyx.jpg;;;
1482350289344737286;Great subs for counter attacks tbt happy with that https://t.co/Sy0Ipiuki6;KH No Filter Football;KHNoFilter;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/liam_twomey/status/1482350159782686726 ;0;0;;;;;
1482350289185382400;@OfficialMonstaX happy birthday my loveeeeeeeee;angie;vantesscenary;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;1;;;;;
