angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.5,,"(255, 119, 142, 142)",,0.0,,0.14,,0.21,,0.0,,0.01,,0.15,
0.27,,"(253, 118, 143, 143)",,0.0,,0.08,,0.53,,0.0,,0.01,,0.11,
0.4,,"(254, 118, 143, 143)",,0.0,,0.13,,0.35,,0.0,,0.01,,0.11,
0.3,,"(258, 120, 142, 142)",,0.0,,0.07,,0.38,,0.0,,0.01,,0.25,
0.06,,"(257, 120, 140, 140)",,0.0,,0.39,,0.15,,0.09,,0.13,,0.19,
0.05,,"(259, 125, 127, 127)",,0.0,,0.28,,0.07,,0.29,,0.17,,0.14,
0.05,,"(258, 128, 124, 124)",,0.0,,0.13,,0.03,,0.53,,0.19,,0.07,
0.03,,"(261, 129, 121, 121)",,0.0,,0.11,,0.13,,0.55,,0.13,,0.04,
0.05,,"(258, 130, 123, 123)",,0.0,,0.13,,0.04,,0.44,,0.3,,0.04,
0.07,,"(262, 126, 128, 128)",,0.0,,0.09,,0.01,,0.4,,0.43,,0.01,
0.05,,"(262, 126, 128, 128)",,0.0,,0.11,,0.01,,0.46,,0.36,,0.01,
0.03,,"(263, 127, 127, 127)",,0.0,,0.09,,0.01,,0.49,,0.36,,0.01,
0.09,,"(262, 127, 129, 129)",,0.0,,0.15,,0.1,,0.4,,0.22,,0.04,
0.46,,"(259, 126, 137, 137)",,0.0,,0.08,,0.33,,0.03,,0.05,,0.05,
0.1,,"(260, 128, 137, 137)",,0.0,,0.03,,0.84,,0.01,,0.01,,0.02,
0.14,,"(260, 128, 139, 139)",,0.0,,0.02,,0.8,,0.01,,0.01,,0.02,
0.1,,"(258, 128, 137, 137)",,0.0,,0.01,,0.85,,0.02,,0.0,,0.02,
0.07,,"(260, 128, 135, 135)",,0.0,,0.02,,0.88,,0.01,,0.0,,0.02,
0.03,,"(259, 129, 135, 135)",,0.0,,0.01,,0.93,,0.02,,0.0,,0.01,
0.12,,"(259, 127, 136, 136)",,0.0,,0.01,,0.86,,0.01,,0.0,,0.01,
0.04,,"(260, 129, 135, 135)",,0.0,,0.0,,0.93,,0.01,,0.0,,0.01,
0.08,,"(260, 129, 134, 134)",,0.0,,0.01,,0.9,,0.01,,0.0,,0.01,
0.07,,"(261, 130, 132, 132)",,0.0,,0.0,,0.92,,0.01,,0.0,,0.01,
0.06,,"(259, 128, 136, 136)",,0.0,,0.0,,0.93,,0.0,,0.0,,0.01,
0.06,,"(259, 127, 136, 136)",,0.0,,0.0,,0.93,,0.0,,0.0,,0.01,
0.05,,"(259, 128, 136, 136)",,0.0,,0.0,,0.94,,0.0,,0.0,,0.01,
0.04,,"(259, 128, 136, 136)",,0.0,,0.0,,0.95,,0.0,,0.0,,0.01,
0.02,,"(259, 128, 136, 136)",,0.0,,0.0,,0.96,,0.01,,0.0,,0.01,
0.03,,"(260, 128, 136, 136)",,0.0,,0.0,,0.94,,0.01,,0.0,,0.01,
0.02,,"(260, 129, 134, 134)",,0.0,,0.0,,0.96,,0.0,,0.0,,0.01,
0.07,,"(260, 129, 136, 136)",,0.0,,0.01,,0.88,,0.02,,0.0,,0.01,
0.07,,"(260, 130, 134, 134)",,0.0,,0.03,,0.84,,0.05,,0.0,,0.01,
0.05,,"(260, 129, 136, 136)",,0.0,,0.01,,0.91,,0.02,,0.0,,0.01,
0.03,,"(260, 129, 135, 135)",,0.0,,0.01,,0.92,,0.03,,0.0,,0.0,
